Dateadded,Malware,Host,IP address,Level,Status,Files Online,SBL,Country,AS number,Uptime
2015-08-30,Citadel,188.95.54.102,188.95.54.102,4,unknown,0,Not listed,-,AS57172,-
2015-08-30,VMZeuS,hatefitch.org,FastFlux Botnet,5,online,1,Not listed,-, ,388:02:38
2015-08-30,VMZeuS,bin1.kns1.al,,4,online,0,Not listed,-, ,388:21:55
2015-08-29,VMZeuS,190.14.37.213,190.14.37.213,4,unknown,0,Not listed,-,AS52469,-
2015-08-28,VMZeuS,www.pthco.ir,185.2.12.120,2,online,0,Not listed,-,AS57497,428:37:24
2015-08-28,VMZeuS,frank1.ddf.al,,4,online,0,Not listed,-, ,428:39:46
2015-08-28,ZeuS,securetestingnetwotk.com,,4,offline,0,Not listed,-, ,189:20:59
2015-08-28,VMZeuS,stichtingmain.nl,85.92.144.51,2,online,0,Not listed,-,AS25525,431:29:15
2015-08-28,VMZeuS,64.182.6.64,64.182.6.64,4,unknown,0,Not listed,-,AS54489,-
2015-08-28,VMZeuS,dino1.ddf.al,,4,online,0,Not listed,-, ,435:14:38
2015-08-24,VMZeuS,techakym.pw,,4,offline,0,Not listed,-, ,24:42:47
2015-08-24,Citadel,141.105.71.55,141.105.71.55,4,unknown,0,Not listed,-,AS49335,-
2015-08-23,VMZeuS,63.249.147.74,63.249.147.74,4,unknown,0,Not listed,-,AS54489,-
2015-08-23,ZeuS,trust1.co.za,196.41.123.193,2,online,0,Not listed,-,AS36874,554:49:56
2015-08-22,Citadel,46.183.221.240,46.183.221.240,4,unknown,0,SBL266682,-,AS52048,-
2015-08-22,Citadel,141.105.71.41,141.105.71.41,4,unknown,0,Not listed,-,AS49335,-
2015-08-22,Citadel,185.70.185.113,185.70.185.113,4,unknown,0,Not listed,-,AS57043,-
2015-08-22,VMZeuS,banihasyim.com,5.189.158.139,2,online,0,SBLCSS,-,AS51167,577:14:09
2015-08-22,VMZeuS,webescuela.de,,2,offline,0,Not listed,-, ,23:12:36
2015-08-21,VMZeuS,justkoko.com,,2,offline,0,Not listed,-, ,452:02:21
2015-08-21,VMZeuS,www.marketurko.com,,2,offline,0,Not listed,-, ,290:48:37
2015-08-21,Citadel,141.105.71.92,141.105.71.92,4,unknown,0,Not listed,-,AS49335,-
2015-08-21,KINS,185.20.227.70,185.20.227.70,4,unknown,0,Not listed,-,AS197695,-
2015-08-20,KINS,63.249.143.70,63.249.143.70,4,unknown,0,Not listed,-,AS54489,-
